Genre,Type,Source,Producer,Studio,Rating,Members,ScoredBy,Episodes,C_Popular
0,5,6,15,6,6.7,20911.0,8558.0,26.0,0
6,3,15,48,25,6.27,5127.0,2118.0,4.0,1
0,5,6,31,15,7.64,158988.0,70061.0,26.0,0
16,5,6,49,37,7.27,22752.0,9654.0,26.0,0
0,5,9,8,9,7.29,61566.0,34033.0,13.0,0
0,5,9,8,9,7.51,40930.0,25344.0,13.0,0
6,5,9,3,0,7.77,99344.0,46534.0,26.0,0
17,5,6,10,8,7.5,9527.0,4537.0,39.0,1
0,5,4,50,34,6.44,15382.0,6532.0,12.0,0
0,5,6,5,3,8.28,114952.0,60345.0,26.0,0
0,5,6,5,38,8.16,72342.0,46252.0,13.0,0
0,0,6,5,10,7.97,61712.0,39507.0,1.0,0
1,5,6,7,19,7.24,182584.0,100842.0,24.0,0
1,3,6,23,19,7.33,67366.0,43040.0,3.0,0
6,4,15,23,19,7.28,43703.0,27492.0,1.0,0
1,5,5,20,4,6.94,71210.0,36836.0,24.0,0
6,3,15,0,39,7.64,27288.0,14743.0,5.0,0
3,5,9,0,21,7.3,117651.0,67924.0,12.0,0
1,5,9,0,21,6.99,66318.0,39199.0,12.0,0
3,5,6,32,2,6.62,18797.0,7985.0,24.0,0
0,5,9,26,9,7.43,77289.0,29660.0,24.0,0
6,0,9,51,36,8.92,703229.0,496902.0,1.0,0
1,3,6,52,13,7.28,17099.0,8475.0,6.0,0
0,5,9,0,1,7.9,209207.0,90804.0,26.0,0
6,3,12,53,40,6.86,5958.0,2715.0,5.0,1
0,5,9,2,41,8.5,542349.0,297258.0,26.0,0
0,5,8,20,16,7.22,19167.0,7561.0,27.0,0
0,3,8,20,2,7.52,35976.0,15066.0,13.0,0
0,3,5,12,10,7.75,47182.0,26213.0,3.0,0
0,5,5,12,4,7.61,53209.0,22395.0,26.0,0
8,5,6,54,10,7.85,134222.0,59792.0,161.0,0
0,0,9,55,42,6.99,10173.0,4708.0,1.0,1
1,0,12,37,1,6.0,2056.0,873.0,1.0,1
0,5,9,23,19,7.59,34148.0,13497.0,26.0,0
0,0,9,3,19,6.86,11073.0,6088.0,1.0,1
0,3,9,53,40,6.72,17821.0,9495.0,2.0,0
6,5,6,13,34,8.15,443087.0,285183.0,153.0,0
0,5,6,13,34,6.67,304531.0,205317.0,64.0,0
0,5,6,6,40,7.76,831141.0,513467.0,13.0,0
0,3,9,23,11,8.07,405028.0,231083.0,6.0,0
15,5,9,12,10,7.75,219585.0,84573.0,26.0,0
1,5,6,56,31,7.0,25902.0,12300.0,12.0,0
0,5,6,6,34,7.1,26164.0,10773.0,27.0,0
0,5,6,23,43,6.26,5475.0,1660.0,26.0,1
6,5,6,31,2,8.21,237261.0,121755.0,70.0,0
6,5,6,3,44,6.76,2765.0,1146.0,26.0,1
6,5,6,24,6,6.71,12948.0,5487.0,26.0,1
3,5,9,12,1,8.15,305005.0,127212.0,50.0,0
0,5,6,13,6,7.42,41711.0,18235.0,42.0,0
2,5,8,8,9,8.21,131982.0,42435.0,24.0,0
8,5,6,4,45,7.72,121703.0,53769.0,12.0,0
1,5,6,19,46,6.61,99909.0,51685.0,11.0,0
1,5,6,12,10,7.2,78925.0,45222.0,13.0,0
1,5,6,12,6,8.74,359917.0,186958.0,43.0,0
6,5,6,18,10,7.4,67480.0,26174.0,51.0,0
1,5,6,52,2,6.78,77634.0,40853.0,12.0,0
0,5,6,57,0,7.9,370659.0,181686.0,167.0,0
6,5,5,31,10,7.84,69346.0,25011.0,78.0,0
9,5,9,2,15,7.14,29470.0,9789.0,26.0,0
8,5,6,0,47,7.94,25033.0,10516.0,26.0,0
1,3,6,0,47,7.92,9657.0,5524.0,6.0,1
8,3,6,0,47,7.74,8170.0,4568.0,7.0,1
8,3,6,0,47,7.74,8170.0,4568.0,7.0,1
18,3,6,9,2,6.37,12062.0,4940.0,4.0,1
1,5,6,58,48,6.93,11178.0,5024.0,13.0,1
1,3,6,58,48,6.92,7161.0,3334.0,3.0,1
1,5,6,6,2,8.8,228564.0,116313.0,75.0,0
2,5,4,41,4,6.9,11457.0,4640.0,12.0,1
0,5,4,59,2,7.94,118089.0,47119.0,26.0,0
0,5,6,3,6,7.9,817079.0,432031.0,366.0,0
0,5,6,13,9,7.6,394708.0,220041.0,13.0,0
